date,index
2023-04-28 23:59:26.472142,0
2023-04-28 23:59:26.472142,0
2023-04-28 23:59:26.720157,2
2023-04-28 23:59:26.472142,0
2023-04-28 23:59:26.720157,2
2023-04-28 23:59:26.939158,2
2023-04-28 23:59:26.472142,0
2023-04-28 23:59:26.720157,2
2023-04-28 23:59:26.939158,2
2023-04-28 23:59:27.151183,5
2023-04-28 23:59:26.472142,0
2023-04-28 23:59:26.720157,2
2023-04-28 23:59:26.939158,2
2023-04-28 23:59:27.151183,5
2023-04-28 23:59:27.362948,1
2023-04-28 23:59:26.472142,0
2023-04-28 23:59:26.720157,2
2023-04-28 23:59:26.939158,2
2023-04-28 23:59:27.151183,5
2023-04-28 23:59:27.362948,1
2023-04-28 23:59:30.315258,5
2023-04-28 23:59:26.472142,0
2023-04-28 23:59:26.720157,2
2023-04-28 23:59:26.939158,2
2023-04-28 23:59:27.151183,5
2023-04-28 23:59:27.362948,1
2023-04-28 23:59:30.315258,5
2023-04-28 23:59:30.535042,1
2023-04-28 23:59:26.472142,0
2023-04-28 23:59:26.720157,2
2023-04-28 23:59:26.939158,2
2023-04-28 23:59:27.151183,5
2023-04-28 23:59:27.362948,1
2023-04-28 23:59:30.315258,5
2023-04-28 23:59:30.535042,1
2023-04-28 23:59:30.835045,1
2023-04-28 23:59:26.472142,0
2023-04-28 23:59:26.720157,2
2023-04-28 23:59:26.939158,2
2023-04-28 23:59:27.151183,5
2023-04-28 23:59:27.362948,1
2023-04-28 23:59:30.315258,5
2023-04-28 23:59:30.535042,1
2023-04-28 23:59:30.835045,1
2023-04-28 23:59:33.081464,5
2023-04-28 23:59:26.472142,0
2023-04-28 23:59:26.720157,2
2023-04-28 23:59:26.939158,2
2023-04-28 23:59:27.151183,5
2023-04-28 23:59:27.362948,1
2023-04-28 23:59:30.315258,5
2023-04-28 23:59:30.535042,1
2023-04-28 23:59:30.835045,1
2023-04-28 23:59:33.081464,5
2023-04-28 23:59:33.308419,1
2023-04-28 23:59:26.472142,0
2023-04-28 23:59:26.720157,2
2023-04-28 23:59:26.939158,2
2023-04-28 23:59:27.151183,5
2023-04-28 23:59:27.362948,1
2023-04-28 23:59:30.315258,5
2023-04-28 23:59:30.535042,1
2023-04-28 23:59:30.835045,1
2023-04-28 23:59:33.081464,5
2023-04-28 23:59:33.308419,1
2023-04-28 23:59:37.283899,1
2023-04-28 23:59:26.472142,0
2023-04-28 23:59:26.720157,2
2023-04-28 23:59:26.939158,2
2023-04-28 23:59:27.151183,5
2023-04-28 23:59:27.362948,1
2023-04-28 23:59:30.315258,5
2023-04-28 23:59:30.535042,1
2023-04-28 23:59:30.835045,1
2023-04-28 23:59:33.081464,5
2023-04-28 23:59:33.308419,1
2023-04-28 23:59:37.283899,1
2023-04-28 23:59:37.523937,5
2023-04-28 23:59:26.472142,0
2023-04-28 23:59:26.720157,2
2023-04-28 23:59:26.939158,2
2023-04-28 23:59:27.151183,5
2023-04-28 23:59:27.362948,1
2023-04-28 23:59:30.315258,5
2023-04-28 23:59:30.535042,1
2023-04-28 23:59:30.835045,1
2023-04-28 23:59:33.081464,5
2023-04-28 23:59:33.308419,1
2023-04-28 23:59:37.283899,1
2023-04-28 23:59:37.523937,5
2023-04-28 23:59:37.769583,1
2023-04-28 23:59:26.472142,0
2023-04-28 23:59:26.720157,2
2023-04-28 23:59:26.939158,2
2023-04-28 23:59:27.151183,5
2023-04-28 23:59:27.362948,1
2023-04-28 23:59:30.315258,5
2023-04-28 23:59:30.535042,1
2023-04-28 23:59:30.835045,1
2023-04-28 23:59:33.081464,5
2023-04-28 23:59:33.308419,1
2023-04-28 23:59:37.283899,1
2023-04-28 23:59:37.523937,5
2023-04-28 23:59:37.769583,1
2023-04-28 23:59:38.018587,1
2023-04-28 23:59:26.472142,0
2023-04-28 23:59:26.720157,2
2023-04-28 23:59:26.939158,2
2023-04-28 23:59:27.151183,5
2023-04-28 23:59:27.362948,1
2023-04-28 23:59:30.315258,5
2023-04-28 23:59:30.535042,1
2023-04-28 23:59:30.835045,1
2023-04-28 23:59:33.081464,5
2023-04-28 23:59:33.308419,1
2023-04-28 23:59:37.283899,1
2023-04-28 23:59:37.523937,5
2023-04-28 23:59:37.769583,1
2023-04-28 23:59:38.018587,1
2023-04-28 23:59:38.269610,1
2023-04-28 23:59:26.472142,0
2023-04-28 23:59:26.720157,2
2023-04-28 23:59:26.939158,2
2023-04-28 23:59:27.151183,5
2023-04-28 23:59:27.362948,1
2023-04-28 23:59:30.315258,5
2023-04-28 23:59:30.535042,1
2023-04-28 23:59:30.835045,1
2023-04-28 23:59:33.081464,5
2023-04-28 23:59:33.308419,1
2023-04-28 23:59:37.283899,1
2023-04-28 23:59:37.523937,5
2023-04-28 23:59:37.769583,1
2023-04-28 23:59:38.018587,1
2023-04-28 23:59:38.269610,1
2023-04-28 23:59:40.672460,1
2023-04-28 23:59:26.472142,0
2023-04-28 23:59:26.720157,2
2023-04-28 23:59:26.939158,2
2023-04-28 23:59:27.151183,5
2023-04-28 23:59:27.362948,1
2023-04-28 23:59:30.315258,5
2023-04-28 23:59:30.535042,1
2023-04-28 23:59:30.835045,1
2023-04-28 23:59:33.081464,5
2023-04-28 23:59:33.308419,1
2023-04-28 23:59:37.283899,1
2023-04-28 23:59:37.523937,5
2023-04-28 23:59:37.769583,1
2023-04-28 23:59:38.018587,1
2023-04-28 23:59:38.269610,1
2023-04-28 23:59:40.672460,1
2023-04-28 23:59:40.922970,1
2023-04-28 23:59:26.472142,0
2023-04-28 23:59:26.720157,2
2023-04-28 23:59:26.939158,2
2023-04-28 23:59:27.151183,5
2023-04-28 23:59:27.362948,1
2023-04-28 23:59:30.315258,5
2023-04-28 23:59:30.535042,1
2023-04-28 23:59:30.835045,1
2023-04-28 23:59:33.081464,5
2023-04-28 23:59:33.308419,1
2023-04-28 23:59:37.283899,1
2023-04-28 23:59:37.523937,5
2023-04-28 23:59:37.769583,1
2023-04-28 23:59:38.018587,1
2023-04-28 23:59:38.269610,1
2023-04-28 23:59:40.672460,1
2023-04-28 23:59:40.922970,1
2023-04-28 23:59:43.363885,1
2023-04-28 23:59:26.472142,0
2023-04-28 23:59:26.720157,2
2023-04-28 23:59:26.939158,2
2023-04-28 23:59:27.151183,5
2023-04-28 23:59:27.362948,1
2023-04-28 23:59:30.315258,5
2023-04-28 23:59:30.535042,1
2023-04-28 23:59:30.835045,1
2023-04-28 23:59:33.081464,5
2023-04-28 23:59:33.308419,1
2023-04-28 23:59:37.283899,1
2023-04-28 23:59:37.523937,5
2023-04-28 23:59:37.769583,1
2023-04-28 23:59:38.018587,1
2023-04-28 23:59:38.269610,1
2023-04-28 23:59:40.672460,1
2023-04-28 23:59:40.922970,1
2023-04-28 23:59:43.363885,1
2023-04-28 23:59:43.619438,1
2023-04-28 23:59:26.472142,0
2023-04-28 23:59:26.720157,2
2023-04-28 23:59:26.939158,2
2023-04-28 23:59:27.151183,5
2023-04-28 23:59:27.362948,1
2023-04-28 23:59:30.315258,5
2023-04-28 23:59:30.535042,1
2023-04-28 23:59:30.835045,1
2023-04-28 23:59:33.081464,5
2023-04-28 23:59:33.308419,1
2023-04-28 23:59:37.283899,1
2023-04-28 23:59:37.523937,5
2023-04-28 23:59:37.769583,1
2023-04-28 23:59:38.018587,1
2023-04-28 23:59:38.269610,1
2023-04-28 23:59:40.672460,1
2023-04-28 23:59:40.922970,1
2023-04-28 23:59:43.363885,1
2023-04-28 23:59:43.619438,1
2023-04-28 23:59:43.875442,1
2023-04-28 23:59:26.472142,0
2023-04-28 23:59:26.720157,2
2023-04-28 23:59:26.939158,2
2023-04-28 23:59:27.151183,5
2023-04-28 23:59:27.362948,1
2023-04-28 23:59:30.315258,5
2023-04-28 23:59:30.535042,1
2023-04-28 23:59:30.835045,1
2023-04-28 23:59:33.081464,5
2023-04-28 23:59:33.308419,1
2023-04-28 23:59:37.283899,1
2023-04-28 23:59:37.523937,5
2023-04-28 23:59:37.769583,1
2023-04-28 23:59:38.018587,1
2023-04-28 23:59:38.269610,1
2023-04-28 23:59:40.672460,1
2023-04-28 23:59:40.922970,1
2023-04-28 23:59:43.363885,1
2023-04-28 23:59:43.619438,1
2023-04-28 23:59:43.875442,1
2023-04-28 23:59:44.137448,1
2023-04-28 23:59:26.472142,0
2023-04-28 23:59:26.720157,2
2023-04-28 23:59:26.939158,2
2023-04-28 23:59:27.151183,5
2023-04-28 23:59:27.362948,1
2023-04-28 23:59:30.315258,5
2023-04-28 23:59:30.535042,1
2023-04-28 23:59:30.835045,1
2023-04-28 23:59:33.081464,5
2023-04-28 23:59:33.308419,1
2023-04-28 23:59:37.283899,1
2023-04-28 23:59:37.523937,5
2023-04-28 23:59:37.769583,1
2023-04-28 23:59:38.018587,1
2023-04-28 23:59:38.269610,1
2023-04-28 23:59:40.672460,1
2023-04-28 23:59:40.922970,1
2023-04-28 23:59:43.363885,1
2023-04-28 23:59:43.619438,1
2023-04-28 23:59:43.875442,1
2023-04-28 23:59:44.137448,1
2023-04-28 23:59:44.401480,1
2023-04-28 23:59:26.472142,0
2023-04-28 23:59:26.720157,2
2023-04-28 23:59:26.939158,2
2023-04-28 23:59:27.151183,5
2023-04-28 23:59:27.362948,1
2023-04-28 23:59:30.315258,5
2023-04-28 23:59:30.535042,1
2023-04-28 23:59:30.835045,1
2023-04-28 23:59:33.081464,5
2023-04-28 23:59:33.308419,1
2023-04-28 23:59:37.283899,1
2023-04-28 23:59:37.523937,5
2023-04-28 23:59:37.769583,1
2023-04-28 23:59:38.018587,1
2023-04-28 23:59:38.269610,1
2023-04-28 23:59:40.672460,1
2023-04-28 23:59:40.922970,1
2023-04-28 23:59:43.363885,1
2023-04-28 23:59:43.619438,1
2023-04-28 23:59:43.875442,1
2023-04-28 23:59:44.137448,1
2023-04-28 23:59:44.401480,1
2023-04-28 23:59:44.753725,1
2023-04-28 23:59:26.472142,0
2023-04-28 23:59:26.720157,2
2023-04-28 23:59:26.939158,2
2023-04-28 23:59:27.151183,5
2023-04-28 23:59:27.362948,1
2023-04-28 23:59:30.315258,5
2023-04-28 23:59:30.535042,1
2023-04-28 23:59:30.835045,1
2023-04-28 23:59:33.081464,5
2023-04-28 23:59:33.308419,1
2023-04-28 23:59:37.283899,1
2023-04-28 23:59:37.523937,5
2023-04-28 23:59:37.769583,1
2023-04-28 23:59:38.018587,1
2023-04-28 23:59:38.269610,1
2023-04-28 23:59:40.672460,1
2023-04-28 23:59:40.922970,1
2023-04-28 23:59:43.363885,1
2023-04-28 23:59:43.619438,1
2023-04-28 23:59:43.875442,1
2023-04-28 23:59:44.137448,1
2023-04-28 23:59:44.401480,1
2023-04-28 23:59:44.753725,1
2023-04-28 23:59:45.034729,1
2023-04-28 23:59:26.472142,0
2023-04-28 23:59:26.720157,2
2023-04-28 23:59:26.939158,2
2023-04-28 23:59:27.151183,5
2023-04-28 23:59:27.362948,1
2023-04-28 23:59:30.315258,5
2023-04-28 23:59:30.535042,1
2023-04-28 23:59:30.835045,1
2023-04-28 23:59:33.081464,5
2023-04-28 23:59:33.308419,1
2023-04-28 23:59:37.283899,1
2023-04-28 23:59:37.523937,5
2023-04-28 23:59:37.769583,1
2023-04-28 23:59:38.018587,1
2023-04-28 23:59:38.269610,1
2023-04-28 23:59:40.672460,1
2023-04-28 23:59:40.922970,1
2023-04-28 23:59:43.363885,1
2023-04-28 23:59:43.619438,1
2023-04-28 23:59:43.875442,1
2023-04-28 23:59:44.137448,1
2023-04-28 23:59:44.401480,1
2023-04-28 23:59:44.753725,1
2023-04-28 23:59:45.034729,1
2023-04-28 23:59:45.296734,1
2023-04-28 23:59:26.472142,0
2023-04-28 23:59:26.720157,2
2023-04-28 23:59:26.939158,2
2023-04-28 23:59:27.151183,5
2023-04-28 23:59:27.362948,1
2023-04-28 23:59:30.315258,5
2023-04-28 23:59:30.535042,1
2023-04-28 23:59:30.835045,1
2023-04-28 23:59:33.081464,5
2023-04-28 23:59:33.308419,1
2023-04-28 23:59:37.283899,1
2023-04-28 23:59:37.523937,5
2023-04-28 23:59:37.769583,1
2023-04-28 23:59:38.018587,1
2023-04-28 23:59:38.269610,1
